자치구,2017,2018,2019,2020,2021,2022,2023,2024
강남구,72.67512953367876,72.86742978836683,75.32981927710843,73.96071234366504,87.50406768630003,76.882539225565,81.36655330474642,92.22449647944981
강동구,103.3463975592584,110.2117887216127,109.7135027404086,122.4915522703273,134.8964719491035,125.0436540016168,136.3502060035315,143.7235820895523
강북구,96.67020335985853,93.95257491998836,82.77618551328817,112.4797833935018,131.4919600173837,105.1207627118644,117.331597917501,126.4193971166448
강서구,118.4527750730282,130.397710088572,121.5014216084484,132.7069082672707,148.8110882956879,123.2335406390736,132.4082867783985,140.2679640718563
관악구,94.28579185520363,103.4699562276164,97.09722222222223,96.90229994297663,112.3872637263726,102.7312973970076,104.3998741874607,110.5061315496098
광진구,80.13301764959104,94.77982120051085,91.49139865370232,100.0024993057484,114.2296728215096,97.05775075987842,102.5642523364486,121.4815331010453
구로구,90.20612870275792,91.16133056133056,93.34416826003824,103.5899401197605,120.8155479059094,108.4827586206897,111.2258496119882,121.9407933688573
금천구,77.63889739663094,77.1396902520498,81.10144927536231,95.39453425712087,100.4063140631406,94.22506790842064,107.6361607142857,118.5275161130392
노원구,132.5908766928011,136.8005989518343,129.3770768119432,140.8047021106065,150.349197080292,130.3937371663244,140.9938323521166,160.1264108352144
도봉구,173.2036018009005,151.9115162294353,159.0668246445498,150.2345112436898,171.7059139784946,146.6553012610929,161.1108797501302,175.779437105112
동대문구,92.0782389937107,99.00489130434782,98.32692307692308,104.9732431637754,118.9611355187563,108.6999692591454,121.7020629015894,111.505907960199
동작구,122.6705705705706,132.0596774193548,120.2682352941176,125.49125,149.8912960851387,142.7539305301645,147.5071915215746,157.8451507742461
마포구,73.09264873057977,74.70204949729312,79.70363486162742,103.5406724511931,106.9734463276836,91.695556640625,97.85133020344288,95.79671035723464
서대문구,104.4098939929329,115.3033547466096,109.8100577641862,127.497828661666,138.5684811237928,134.6057287278854,134.4356394129979,155.1226874391431
서초구,94.60514018691589,92.71328819297503,78.51082641645615,93.24603347098457,113.8312363238512,91.60148015250056,91.12737726669616,109.0485744456177
성동구,113.0144560896278,128.8005698005698,123.0011942675159,127.2248094834886,138.5757575757576,131.3737465815861,140.7642115669797,132.8715162966462
성북구,132.6170646476412,147.1686390532544,158.0618700034758,174.1550447993767,182.5557859809208,160.7799199708985,181.7370385732061,199.1927655677656
송파구,120.3681850789096,115.9819183743758,119.8211653211653,124.5704251386322,140.8495969452694,128.6073156570544,126.3689450507371,126.8477000386548
양천구,122.3642452344153,133.1849217638691,143.8347853142502,142.3448383084577,149.4152570480929,140.1104449353108,145.4958595561444,144.7836666666667
영등포구,67.351985257162,69.10958904109589,68.8979381443299,78.08453133985049,95.93395549174444,82.60738742477693,90.04074241738343,95.31389488840892
용산구,60.20788177339902,71.85282908238054,74.00694234832478,82.3997979117548,99.65770684586309,78.62622177283451,75.17576961271102,65.38049367850692
은평구,126.5006438320886,135.8401114206128,124.8829896907216,142.7855457227139,147.09401972873,134.9589905362776,134.8036072144289,144.6534037923531
종로구,40.4873058910525,44.18048780487805,42.0876235049402,51.25596389426177,56.70685840707964,48.50573613766731,50.47064743374707,54.10777576853526
중구,32.16849904397706,33.65583126550869,31.54333256297666,39.47082966871885,46.06326459279972,42.58710517746663,39.36469534050179,44.40406091370559
중랑구,90.30409100853205,95.18353544776119,94.19493908153702,107.2361782071927,122.082554517134,108.4023339816616,116.5673886883273,121.5995582202588
